ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-000182,-2.564166219997346,SNU-869,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,Non-immune
ACH-000212,-2.991001500381682,CAL-120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000226,-2.826879450072542,SUP-M2,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,Lymphoid
ACH-000228,-0.5071624080609933,BICR 31,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000233,-2.5513436862464385,DEL,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,Lymphoid
ACH-000234,-1.9901680715696108,Caki-2,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,Non-immune
ACH-000260,-1.116456608643482,SK-N-AS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000264,-2.864937434452918,Calu-6,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000277,-2.8642768185738587,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000293,-1.4567601415097324,KLE,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000294,-1.9256662546177317,NB-4,Myeloid,Acute Myeloid Leukemia,Acute Promyelocytic Leukemia,Myeloid
ACH-000335,-2.540334255903576,MSTO-211H,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",Non-immune
ACH-000344,-2.858203514959277,SNU-668,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Non-immune
ACH-000371,-2.731149794029692,RL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000376,-1.4787028110643212,SF-295,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000381,-1.6201556485716966,T84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000403,-2.649279709143125,NCI-H747,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000404,-2.853173253313265,K029AX,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-000503,-2.3644743561195,BICR 16,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000504,-2.0535723597846958,SNB75,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000547,-0.5364296272541473,HT-1197,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000548,-2.7753120392862254,BHY,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000549,-1.3305360250064604,SNU-1076,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Non-immune
ACH-000584,-2.65046098643166,JHOS-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000616,-2.242591970836361,Hs 746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000620,-2.4323719199245284,JHH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000663,-2.530526178237235,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-000746,-1.7670391027573475,GSS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000753,-3.1535289071879635,JMSU-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000756,-2.032997637846935,GI-1,CNS/Brain,Diffuse Glioma,Gliosarcoma,Non-immune
ACH-000823,-2.720267625575895,KYSE-140,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000831,-1.8598149118399447,HEC-50B,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000853,-1.1325160857186831,NCI-H661,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000860,-2.2445965624342348,NCI-H358,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000864,-1.295961876869998,COLO 684,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000882,-2.9149482259450377,IGR-1,Skin,Melanoma,Melanoma,Non-immune
ACH-000919,-2.4295541645978416,IM95,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000924,-2.060774603019645,NCI-H2172,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Non-immune
ACH-000926,-2.143785774025449,HT-55,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000970,-2.324771093298038,SNU-C5,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000980,-1.5178649981860803,NCI-H1155,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000983,-1.9020878930504317,KCL-22,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-001020,-1.9324765052894008,BT-16,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,Non-immune
ACH-001054,-1.667924334083783,D458,CNS/Brain,Embryonal Tumor,Medulloblastoma,Non-immune
ACH-001111,-2.425318393787732,L82,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,Lymphoid
ACH-001128,-2.3608315374876265,MON,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,Non-immune
ACH-001134,-2.1708557666403085,MYLA,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-001137,-3.209459144571269,NCI-H1993,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-001172,-1.916464716492098,U-251 MG DM,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-001275,-2.7076674864369608,SYO-1,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-001279,-2.231203221606686,SCCOHT-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,Non-immune
ACH-001280,-1.6852382545060565,SCS-214,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,Non-immune
ACH-001310,-2.8303928145969857,HA1E,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,Non-immune
ACH-001340,-1.3581013149518155,COV413A,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001386,-2.479769609472307,SCLC-22H,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-001390,-2.135255229898687,SUM-149PT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-001396,-2.331930980878181,SUM-52PE,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-001398,-2.1927275902223995,SW 156,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-001422,-2.0593545685819645,WPE1-NA22,Prostate,Non-Cancerous,"Immortalized Epithelial Cells, Prostate",Non-immune
ACH-001460,-3.0353804703072638,C84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001533,-2.15606123262574,KARPAS 1718,Lymphoid,Mature B-Cell Neoplasms,Splenic Marginal Zone Lymphoma,Lymphoid
ACH-001542,-2.5937766306054755,KON,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001547,-2.514932631290946,LO68,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-001548,-2.412799513050497,LS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001558,-2.0812266069283862,Mero-48a,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",Non-immune
ACH-001608,-2.112309304904836,NP 2,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001619,-2.3125415226698203,OCUG-1,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",Non-immune
ACH-001625,-1.7073578882156717,OSC-19,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001642,-2.3951102885648377,SCC-3,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,Lymphoid
ACH-001691,-2.509606405302902,UPCI-SCC-029A,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001692,-1.7423483232604908,UPCI-SCC-040,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001842,-1.8593511058129004,MGH-ICC2,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001850,-2.378373143655549,G415,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",Non-immune
ACH-001853,-2.220989324342139,KMCH-1,Liver,Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001970,-1.7739974166968615,MM253,Skin,Melanoma,Melanoma,Non-immune
ACH-001991,-2.8263198842514448,NZOV9,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Non-immune
ACH-002030,-2.6184412918355275,Sa3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-002044,-1.7531504861403178,HSQ-89,Head and Neck,Head and Neck Squamous Cell Carcinoma,Sinonasal Squamous Cell Carcinoma,Non-immune
ACH-002062,-1.4801711142990643,SLVL,Lymphoid,Mature B-Cell Neoplasms,Splenic Marginal Zone Lymphoma,Lymphoid
ACH-002116,-1.973606774792143,EW-22,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002210,-3.1258424191524874,ARH-77,Myeloid,Non-Cancerous,Immortalized Blood,Myeloid
ACH-002464,-2.744856673719677,RPE1-ss6,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",Non-immune
ACH-002647,-1.8759364584832363,CCC-5,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Cholangiocarcinoma,Non-immune
ACH-002680,-2.429375064668674,170-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-003176,-1.8089671830826333,NRH-GCT1,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-000014,-2.757855860880494,Hs 294T,Skin,Melanoma,Melanoma,Non-immune
ACH-000019,-2.025414969862998,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000035,-2.337962819272374,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Non-immune
ACH-000042,-0.92076088483921,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000074,-2.9608996595572243,KU812,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-000114,-2.9398253210903604,SU.86.86,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000127,-2.7500391901464822,SLR 20,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000128,-2.8591380724256745,LN-319,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000133,-2.4125293070919915,Hs 729,Fibroblast,Non-Cancerous,Fibroblast,Non-immune
ACH-000153,-2.643081579279743,NCI-H2052,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",Non-immune
ACH-000164,-2.7009841593799173,PANC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000176,-2.2484513942653384,LOU-NH91,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000189,-2.194346909941048,RCC10RGB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-000208,-2.4220826495452,U-178,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000210,-2.300738314139957,CADO-ES1,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000242,-2.3110662014191448,RT4,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000251,-1.9101806177016207,NCI-H2887,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Non-immune
ACH-000288,-2.231268442647622,BT-549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",Non-immune
ACH-000325,-2.553027273699703,SNU-620,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000331,-2.046389183794559,IST-MES2,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-000356,-2.292824817453433,MKN-45,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,Non-immune
ACH-000398,-2.489132004036053,RI-1,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,Lymphoid
ACH-000470,-2.7880524962044926,SW1463,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-000476,-2.322012682922675,JHH-4,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000480,-1.979676947454509,HuH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000489,-2.572845777257122,SW1116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000545,-2.4810362301121995,VM-CUB1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000556,-2.578444265190172,SIHA,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-000580,-2.782303395076713,C32,Skin,Melanoma,Melanoma,Non-immune
ACH-000596,-2.582901694286465,LCLC-97TM1,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000597,-2.337794275337362,TTC-709,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,Non-immune
ACH-000665,-1.967172403916839,SK-MES-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000671,-2.616913225910309,HuH-6,Liver,Hepatoblastoma,Hepatoblastoma,Non-immune
ACH-000747,-2.5172379511166665,NCI-H1703,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000763,-2.0979123343936776,MM1-S,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000765,-2.605067451692027,WM983B,Skin,Melanoma,Melanoma,Non-immune
ACH-000785,-0.1978133223111109,NCI-H2126,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000817,-2.7337120571489675,RPMI 8226,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000821,-2.675822933770013,EJM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000851,-2.512630581625542,MOR/CPR,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000880,-2.519909081399452,AGS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000914,-2.6727144722914224,HT,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000941,-2.6798572483442538,HEC-1-B,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000963,-2.1561609343955688,CCK-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000973,-2.6781427128980693,639-V,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,Non-immune
ACH-000984,-2.1684016111126634,HEC-6,Uterus,Endometrial Carcinoma,Uterine Adenosquamous Carcinoma,Non-immune
ACH-001041,-2.205978754500821,CHL-1-DM,Skin,Melanoma,Melanoma,Non-immune
ACH-001048,-2.700984930995161,COV504,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001067,-2.147706081896405,F5,CNS/Brain,Meningothelial Tumor,Meningioma,Non-immune
ACH-001081,-1.8250346551628112,HCC2998,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001119,-2.650523437395574,Mac-2A,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Negative,Lymphoid
ACH-001145,-2.667967272496433,OC 316,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001184,-3.168224927893643,SCMC-RM2,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Non-immune
ACH-001274,-3.4371500848511958,SW982,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,Non-immune
ACH-001333,-2.1917342190958378,C-33 A,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001335,0.2040415218566482,C-4 II,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001376,-2.377617022822476,PACADD-135,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001379,-2.0889243253853573,PACADD-161,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001389,-2.9504622470909387,SUM-1315MO2,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-001401,-2.645489130026095,SW-13,Adrenal Gland,Adrenocortical Carcinoma,Adrenocortical Carcinoma,Non-immune
ACH-001403,-3.0303944593690533,TO14,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001413,-2.4551271478830823,UM-UC-11,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
